w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,label
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.003913894,0.005882353,0,0,0,0.33,1,0,0.67,0.007843137,0.007843137,1,0,0.5,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.005870841,0.007843137,0,0,0,0.25,1,0,0.5,0.011764706,0.011764706,1,0,0.33,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.007827789,0.007843137,0,0,0,0,1,0,0,0.015686275,0.015686275,1,0,0.25,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.007827789,0.007843137,0,0,0,0,1,0,0,0.019607843,0.019607843,1,0,0.2,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.009784736,0.009803922,0,0,0,0,1,0,0,0.023529412,0.023529412,1,0,0.17,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.007827789,0.007843137,0,0,0.25,0.25,1,0,0,0.02745098,0.02745098,1,0,0.14,0,0,0,0.14,0.14,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.009784736,0.009803922,0,0,0.2,0.2,1,0,0,0.031372549,0.031372549,1,0,0.12,0,0,0,0.12,0.12,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.009784736,0.009803922,0,0,0.2,0.2,1,0,0,0.035294118,0.035294118,1,0,0.11,0,0,0,0.11,0.11,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.011741683,0.011764706,0,0,0.17,0.17,1,0,0,0.039215686,0.039215686,1,0,0.1,0,0,0,0.1,0.1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.024851694,0.001619331,0,0,0,0.066666667,0,1,0.001131222,0,0,0,0,0,0,0,0,0,0.01369863,0.01372549,0,0,0.14,0.14,1,0,0,0.043137255,0.043137255,1,0,0.09,0,0,0,0.09,0.09,1
